Prov/Terr,FSA,Total,Total Income,Income per capita,Net Income,Taxable Income
24,G8T,23690,756626000,31938.62389,694632000,650154000
24,G8V,7810,360948000,46216.13316,320389000,313353000
24,G8W,8750,390796000,44662.4,348134000,338131000
24,G8Y,27330,1219060000,44605.19576,1081783000,1049201000
24,G8Z,10800,356265000,32987.5,326223000,306620000
24,G9A,16640,495436000,29773.79808,457850000,414159000
24,G9B,13760,666797000,48459.0843,597313000,581647000
24,G9C,2540,130337000,51313.77953,114014000,111689000
24,G9H,10530,456948000,43394.87179,410464000,394738000
24,G9N,13710,406702000,29664.62436,374569000,340009000
24,G9P,9830,369615000,37600.71211,333221000,318362000
24,G9R,1800,78108000,43393.33333,70201000,67617000
24,G9T,13610,468241000,34404.1881,425159000,399887000
24,G9X,9120,333607000,36579.71491,305305000,292570000
24,H0M,1330,5030000,3781.954887,4736000,3810000
24,H1A,26620,1062506000,39913.82419,966283000,931705000
24,H1B,16140,566889000,35123.2342,522024000,495966000
24,H1C,10760,448518000,41683.829,409663000,398283000
24,H1E,35030,1272053000,36313.24579,1177210000,1127381000
24,H1G,36740,1004124000,27330.53892,943083000,867547000
24,H1H,27720,747262000,26957.50361,701481000,649116000
24,H1J,8500,353136000,41545.41176,323246000,312715000
24,H1K,26480,1047353000,39552.60574,955861000,920696000
24,H1L,26720,960612000,35951.0479,884383000,844214000
24,H1M,24200,975430000,40307.02479,889279000,858455000
24,H1N,18930,673415000,35573.95668,619167000,590755000
24,H1P,14150,494703000,34961.34276,458469000,440204000
24,H1R,23270,778945000,33474.21573,722375000,690950000
24,H1S,20500,641557000,31295.46341,596935000,568707000
24,H1T,24890,978244000,39302.69184,895868000,858576000
24,H1V,17060,626831000,36742.73154,576822000,545081000
24,H1W,22680,757002000,33377.51323,703212000,665456000
24,H1X,23850,902391000,37836.10063,826695000,786202000
24,H1Y,21470,965944000,44990.40522,879221000,849019000
24,H1Z,25760,590502000,22923.21429,559292000,506784000
24,H2A,15140,422346000,27896.03699,393565000,368752000
24,H2B,13800,490868000,35570.14493,449935000,429412000
24,H2C,14260,646434000,45331.97756,586553000,567105000
24,H2E,18650,586937000,31471.15282,543835000,515104000
24,H2G,17170,698759000,40696.50553,636341000,613853000
24,H2H,11190,483314000,43191.59964,442465000,431858000
24,H2J,20520,1080159000,52639.32749,984671000,965607000
24,H2K,22420,772568000,34458.876,717859000,680381000
24,H2L,20000,894460000,44723,827539000,790307000
24,H2M,14540,637502000,43844.70426,578217000,560521000
24,H2N,5000,149911000,29982.2,140396000,132922000
24,H2P,11490,477614000,41567.79809,434078000,421871000
24,H2R,17960,767039000,42708.18486,700488000,679696000
24,H2S,21530,921600000,42805.38783,844339000,818755000
24,H2T,12410,567347000,45716.92184,521792000,501996000
24,H2V,21870,1677998000,76726.01738,1537680000,1505863000
24,H2W,8150,369580000,45347.23926,340103000,326754000
24,H2X,15110,543323000,35957.84249,506158000,473215000
24,H2Y,3150,337376000,107103.4921,301343000,291706000
24,H2Z,2090,114224000,54652.63158,106060000,99346000
24,H3A,3290,226044000,68706.38298,206964000,201827000
24,H3B,15900,475880000,29929.55975,454202000,315056000
24,H3C,9530,670492000,70355.92865,611405000,595609000
24,H3E,16490,1412679000,85668.82959,1276701000,1244536000
24,H3G,6370,616664000,96807.53532,569406000,557686000
24,H3H,14760,575618000,38998.50949,536324000,515946000
24,H3J,8230,358373000,43544.71446,328683000,307261000
24,H3K,11490,493044000,42910.70496,452495000,428241000
24,H3L,15610,746175000,47801.08905,678627000,656951000
24,H3M,12300,457506000,37195.60976,421791000,402066000
24,H3N,21270,445942000,20965.77339,426736000,379131000
24,H3P,7900,763316000,96622.27848,694343000,684462000
24,H3R,7530,838805000,111395.0863,767980000,747795000
24,H3S,24120,806411000,33433.29187,750635000,705211000
24,H3T,9280,362783000,39092.99569,334143000,320007000
24,H3V,5430,197128000,36303.49908,181036000,172893000
24,H3W,23040,783747000,34016.79688,730068000,692795000
24,H3X,18070,1271932000,70389.15329,1162207000,1129664000
24,H3Y,7560,1516340000,200574.0741,1418090000,1384812000
24,H3Z,9400,931962000,99144.89362,844825000,823236000
24,H4A,20060,1211497000,60393.66899,1101779000,1069656000
24,H4B,15840,612920000,38694.44444,561574000,539138000
24,H4C,13050,558081000,42764.82759,517902000,495198000
24,H4E,24320,804832000,33093.42105,744972000,706719000
24,H4G,23570,832663000,35327.23801,771057000,734406000
24,H4H,15540,633993000,40797.49035,579726000,551683000
24,H4J,13270,420726000,31705.04898,388041000,356433000
24,H4K,9100,474893000,52186.04396,434140000,419252000
24,H4L,28440,946958000,33296.6948,874721000,825455000
24,H4M,9570,430457000,44979.83281,390498000,377979000
24,H4N,21680,602778000,27803.41328,561729000,526323000
24,H4P,6010,327629000,54513.97671,303525000,293932000
24,H4R,21230,1237975000,58312.52944,1130672000,1100287000
24,H4S,490,29185000,59561.22449,26814000,26420000
24,H4T,90,27077000,300855.5556,26577000,26424000
24,H4V,15590,590142000,37853.88069,542423000,521614000
24,H4W,19090,1015755000,53208.74804,919269000,893210000
24,H4X,4930,358238000,72664.90872,323022000,316400000
24,H4Z,0,0,#DIV/0!,0,0
24,H5A,0,0,#DIV/0!,0,0
24,H5B,120,12219000,101825,10497000,9885000
24,H7A,16140,660611000,40930.04957,604378000,587123000
24,H7B,2250,98962000,43983.11111,89391000,86759000
24,H7C,6320,243899000,38591.61392,224256000,217176000
24,H7E,21200,1141677000,53852.68868,1037697000,1013747000
24,H7G,17210,656517000,38147.41429,598558000,573720000
24,H7H,10600,477332000,45031.32075,432573000,423697000
24,H7J,2100,97586000,46469.52381,89281000,87499000
24,H7K,17740,869472000,49011.95039,785863000,769241000
24,H7L,28390,1426557000,50248.57344,1285236000,1258359000
24,H7M,23520,983450000,41813.35034,893247000,868878000
24,H7N,33920,1207021000,35584.34552,1112040000,1069338000
24,H7P,28160,1261058000,44781.8892,1147875000,1122866000
